DriverAge,DriverWeight,KartPowerHP,TrackLength_m,NumCorners,ElevationChange_m,TirePressure_psi,GearRatio,FuelLoad_kg,ReactionTime_ms,AggressivenessScore,TrainingHoursPerWeek,TrackTemperature_C,Humidity_%,WindSpeed_kmh,LapTimeSeconds
18,55.22420570623141,5.614065831411217,807.661543499081,18,4.937802467820558,20.445213114822838,3.5794873166929575,2.284175536535025,291.4883718992288,8,5.470080802417516,26.32992701795081,87.10449190770326,6.689991886705311,300.0
15,40.87756506024449,14.189347431104974,614.46036053608,6,0.4850783563832439,20.291799320554976,5.761096314322976,2.3588463145171827,366.3224322391186,3,13.513457427961379,37.317692984802335,26.89395979323092,12.674783313052805,223.0125809138656
16,56.70223403980424,5.810749161472987,1428.2588704392624,16,8.655399169598862,22.948242480869073,5.004096691877146,2.560992816302073,299.52148087474615,5,3.2991362220189804,26.182059571252374,36.770712301304016,13.59152393518698,300.0
18,67.30778985613925,14.142313763441624,1039.4779641137175,10,18.39050584346058,22.913013915245187,4.403452008495494,2.0365479137083313,227.2612768903613,3,4.5316788916230575,16.430537915607385,72.03786869510981,11.01315110490499,279.7047549092052
14,64.30103922359903,9.908072494527028,716.0579393464858,14,11.424540304759653,25.58999401414051,3.579324802144252,3.5675981907532823,249.34474634946855,10,6.247591827094188,28.659425072884453,69.16490327111327,18.960196367636705,272.23670802045075
19,63.425489982484606,9.4809111279592,1175.2544020264459,8,4.588715014000641,19.243664288338373,5.048290080530315,2.580214889009649,259.79860883121506,7,12.564414733196125,38.400552908701655,70.52121639599156,13.079414897222943,300.0
16,57.760053585004165,14.733070795003766,812.4219564952617,5,13.016426054024514,25.625338918676995,3.2901510222879757,3.1690175232184323,385.29442894982253,4,9.59005396234732,28.352590481695756,49.37101213590367,3.302397487884343,253.07830450889415
16,49.76775411024171,14.90384177698219,545.327208816911,7,14.89971369856102,23.44359479654343,3.9592431052898047,2.0903702906393153,260.48170838456076,9,9.223667968693244,18.475863370197708,46.70747864429844,1.0691868114773828,223.20565573795406
18,64.12235457299573,11.50178125961012,660.9554528279384,11,11.00675655441254,20.491849120793635,4.721344774310198,4.445247541659441,262.8637902225304,1,14.025364953539906,25.99024459783479,61.20367381038507,16.54862952452959,247.97376398744896
13,53.325745519723,6.271192918570485,1107.0220129053132,18,16.85196047283274,27.338652671576916,4.9382854663015365,1.8230871067690906,307.4557251217032,5,8.335293840173321,17.655996227761,39.07718752164007,5.84014801248866,300.0
14,77.47277386704366,10.061700856552026,457.0637165966908,7,11.847451838346752,23.688754907866297,3.051990538530997,4.50926546701733,359.90788649803744,5,14.311132542777884,29.632152401972288,33.84106102329901,19.536162756714813,231.70572920467444
